SampleID,ClassName
GSM8179740,LBP
GSM8179741,LBP
GSM8179743,LBP
GSM8179744,LBP
GSM8179745,LBP
GSM8179747,LBP
GSM8179751,HBP
GSM8179752,HBP
GSM8179754,HBP
GSM8179757,HBP
GSM8179758,HBP
GSM8179760,LBP
GSM8179762,LBP
GSM8179763,LBP
GSM8179764,LBP
GSM8179766,LBP
GSM8179767,LBP
GSM8179768,LBP
GSM8179769,LBP
GSM8179770,HBP
GSM8179772,HBP
GSM8179774,HBP
GSM8179775,HBP
GSM8179778,HBP
GSM8180110,LBP
GSM8180111,LBP
GSM8180113,LBP
GSM8180114,LBP
GSM8180115,LBP
GSM8180118,LBP
GSM8180120,LBP
GSM8180121,LBP
GSM8180122,LBP
GSM8180123,LBP
GSM8180124,LBP
GSM8180127,LBP
GSM8180129,LBP
GSM8180130,LBP
GSM8180131,LBP
GSM8180132,LBP
GSM8180135,LBP
GSM8180138,LBP
GSM8180141,LBP
GSM8180144,LBP
GSM8180147,LBP
GSM8180149,LBP
GSM8180151,MEBP
GSM8180153,MEBP
GSM8180157,MEBP
GSM8180159,MEBP
GSM8180162,MEBP
GSM8180168,HBP
GSM8180176,HBP
GSM8180177,HBP
GSM8180179,HBP
GSM8180182,HBP
GSM8180183,HBP
GSM8180184,HBP
GSM8180186,HBP
GSM8180187,HBP
GSM8180188,HBP
GSM8180192,HBP
GSM8180193,HBP
GSM8180195,HBP
